Season,AgeClass,Mass.kg,Length.m,BlubberVolume.m3,BlubberMass1.kg,MinBlubblerMass2.kg,MeanBlubberMass2.kg,MaxBlubberMass2.kg,ProportionBlubber
Fall,Adult,1335,3.96,0.49,534,449,453,457,0.34
Fall,Adult,722,3.42,0.34,289,308,312,315,0.43
Fall,Adult,1105,3.96,0.53,442,483,487,492,0.44
Fall,Adult,1016,3.84,0.46,406,417,421,425,0.41
Fall,Adult,837,3.4,0.46,335,420,424,428,0.51
Fall,Adult,1169,4.14,0.5,467,460,464,469,0.4
Fall,Adult,875,3.56,0.35,350,314,317,321,0.36
Fall,Adult,1398,3.31,0.58,559,526,531,536,0.38
Fall,Adult,658,3.15,0.26,263,234,236,239,0.36
Fall,Adult,620,3.05,0.33,248,301,304,307,0.49
Fall,Juvenile,211,2.72,0.14,85,126,128,129,0.6
Fall,Juvenile,365,2.77,0.17,146,157,159,160,0.44
Spring,Adult,875,3.05,0.26,350,240,243,245,0.28
Spring,Adult,722,3.35,0.28,289,256,259,261,0.36
Spring,Adult,1156,4.12,0.4,462,364,368,372,0.32
Spring,Adult,620,3.2,0.24,248,223,225,227,0.36
Spring,Juvenile,454,3.07,0.23,182,208,210,212,0.46
Spring,Juvenile,301,2.54,0.15,120,137,138,139,0.46
Spring,Juvenile,365,3.12,0.2,146,186,188,190,0.51
Spring,Juvenile,454,2.95,0.18,182,164,165,167,0.36
Spring,Juvenile,262,2.79,0.16,105,145,146,148,0.56
